reaction_id,reaction_smiles,source_layer
MARTS_EXT_RXN_000c8b710696,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C>>C=C(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,project_model_catalog
MARTS_EXT_RXN_012d56c064db,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C[C@H]1CCC[C@@]2(C)CCCC[C@]12O,project_model_catalog
MARTS_EXT_RXN_0216267ce7f4,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,project_model_catalog
MARTS_EXT_RXN_029b92fe95de,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC[C@@H](C(C)C)[C@H]2/C=C(/C)CC/C=C(\C)CC[C@H]12,project_model_catalog
MARTS_EXT_RXN_0304c0087056,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>CC(C)(O)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,project_model_catalog
MARTS_EXT_RXN_033964ff02d8,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C1=C/C[C@H]2[C@@H](C(C)C)CC[C@]2(C)C/C=C(\C)CC[C@H]2C1=CC[C@H]2C,project_model_catalog
MARTS_EXT_RXN_035143e0b4ac,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/CO,project_model_catalog
MARTS_EXT_RXN_0396c90bff0f,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>Cc1ccc(C(C)C)cc1,project_model_catalog
MARTS_EXT_RXN_055064ae05a5,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)[C@H]1CCC2=CC34C(C)C5(CC[C@H](C)[C@@H]5CC[C@@H]3C)[C@@H]4C[C@@]21C,project_model_catalog
MARTS_EXT_RXN_0601074748a9,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C[C@@H]1CC[C@H]2[C@@H]3C4=C(CC[C@@]4(C)C2(C)C)[C@@H](C)CC[C@H]31,project_model_catalog
MARTS_EXT_RXN_0718113ff706,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C1=C\CC[C@](C)(O)/C=C/C(C)(C)CCC/C(C)=C/CC1,project_model_catalog
MARTS_EXT_RXN_07865104318f,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC(C(C)C)C(O)C1C(=C)C,project_model_catalog
